Years,Team,Conf,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,,,
2021,UTEP,CUSA,103.3,156,100.2,131,67.8,191,-0.065,304,,,
2021,South Alabama,SB,103.3,157,108.4,294,66.5,261,0.043,84,,,
2021,Murray St.,OVC,103.3,158,103.5,195,66.2,275,-0.177,356,,,
2020,Boston U. *,Pat,103.3,166,102.6,186,66.3,272,0.002,177,,,
2020,William & Mary,CAA,103.3,167,105.5,244,67.5,222,0.132,3,,,
2019,Lamar University,Slnd,103.3,197,107.9,247,68.3,141,0.009,157,,,
2018,UC Riverside,BW,94.5,333,103.7,153,68.3,177,-0.067,323,,,
2018,South Dakota St. ,Sum,113.8,47,103.6,150,70.5,61,0.097,13,,,
2018,College of Col. of Charleston ,CAA,108.7,105,103.6,149,64.9,323,0.035,91,,,
2016,South Carolina St.,MEAC,103.3,194,112.8,315,67.6,198,0.091,20,,,
2016,Northern Colo.,BSky,103.3,195,118,348,68.3,155,0.024,113,,,
2016,New Mexico St. ,WAC,103.3,196,97.2,44,65.3,302,-0.014,215,,,
2015,Vermont,AE,103.3,191,99,78,64.4,170,-0.118,348,,,
2015,Detroit,Horz,103.3,192,104.6,175,67.3,45,-0.008,204,,,
2014,North Florida,ASun,103.3,208,111.1,276,66.7,77,0.089,18,,,
2013,Buffalo,MAC,103.3,155,104.7,211,63.9,201,-0.067,314,,,
2012,Manhattan,MAAC,103.3,163,99.4,105,67,85,-0.022,226,,,
2012,Hawaii,WAC,103.3,164,107.3,266,69.6,20,0.035,79,,,
2010,Belmont,ASun,103.3,166,99.6,110,68.8,52,-0.013,208,,,
2009,Northern Colo.,BSky,103.3,155,106.7,253,66.5,118,-0.075,325,,,
2009,Dayton ,A10,103.3,156,93,25,64.5,210,0.107,5,,,
2008,Robert Morris ,NEC,103.3,175,101.1,119,69,44,0.076,24,,,
2008,High Point,BSth,103.3,176,106,212,61.9,290,-0.077,324,,,
2008,Cleveland St. ,Horz,103.3,177,96.7,55,64.7,182,0.035,88,,,
2007,St. John's (NY),BE,103.3,184,99.9,86,63.8,242,0.039,78,,,
2007,Rice,CUSA,103.3,185,105.2,174,65.8,167,0.054,53,,,
2006,UT Martin,OVC,103.3,164,109.2,276,67.5,83,-0.003,176,,,
2005,CSUN,BW,103.3,155,96.7,56,68.5,76,-0.069,305,,,
2004,Ball St.,MAC,103.3,152,101.9,138,67.1,117,-0.013,196,,,
2004,UCF ,ASun,103.3,153,97.4,60,62.6,283,0.087,18,,,
2003,Green Bay,Horz,103.3,145,107.1,255,64.9,259,-0.062,292,,,
2003,Miami (FL),BE,103.3,146,97.2,74,65.8,212,-0.118,324,,,
2023,FIU,CUSA,103.2,228,106.6,198,70.3,41,0.008,165,,,
2023,Idaho,BSky,103.2,229,113.8,337,66.1,260,-0.057,307,,,
2021,ETSU,SC,103.2,159,99.2,117,65.4,311,-0.063,302,,,
2021,Bryant,NEC,103.2,160,104.7,223,74,6,-0.044,273,,,
2020,Tulsa,Amer,103.2,168,93.6,34,65.8,297,0.076,19,,,
2020,Montana,BSky,103.2,169,100.1,123,68.2,185,0.019,137,,,
2020,Omaha,Sum,103.2,170,107.7,286,69.2,126,0.077,18,,,
2019,Rice,CUSA,103.2,198,110.7,294,70.1,63,0,178,,,
2018,Wagner ,NEC,103,209,103.6,151,67.6,202,0.07,32,,,
2018,Vermont ,AE,113.8,48,103.5,148,64.1,339,-0.009,202,,,
2018,Belmont,OVC,112.7,56,103.5,146,66.9,240,-0.004,184,,,
2017,Charleston So.,BSth,103.2,192,116.7,341,68.2,178,0.007,173,,,
2016,East Carolina,Amer,103.2,197,105.9,191,67.2,225,-0.024,239,,,
2016,Kansas City,WAC,103.2,198,110.7,283,66.4,258,-0.054,302,,,
2016,FIU,CUSA,103.2,199,108.8,252,65.3,307,-0.127,351,,,
2016,Youngstown St.,Horz,103.2,200,113.9,326,72.4,20,0.007,161,,,
2015,The Citadel,SC,103.2,193,121.8,351,58.6,347,0.077,25,,,
2015,ETSU,SC,103.2,194,107.5,231,67.7,32,0.036,91,,,
2014,Jacksonville,ASun,103.2,209,116.8,339,67.8,43,0.028,117,,,
2014,Winthrop,BSth,103.2,210,108.6,241,64.3,199,0.06,51,,,
2014,UT Martin,OVC,103.2,211,118.6,346,67.4,56,-0.065,318,,,
2013,Loyola Chicago,Horz,103.2,156,103.1,180,61.8,284,-0.083,327,,,
2011,Robert Morris,NEC,103.2,172,101.4,125,63.3,272,0.013,145,,,
2010,Cal Poly,BW,103.2,167,111,315,66.4,145,0.048,63,,,
2009,Kent St.,MAC,103.2,157,99.7,103,66.1,135,-0.031,257,,,
2009,Fairfield,MAAC,103.2,158,104,191,63.6,246,0.08,19,,,
2009,Weber St. ,BSky,103.2,159,99,89,67,101,0.078,20,,,
2008,Fordham,A10,103.2,178,102.5,147,61.8,294,-0.029,246,,,
2008,Northeastern,CAA,103.2,179,101.7,131,61.4,302,-0.043,277,,,
2005,South Fla.,CUSA,103.2,156,99.9,102,66.6,140,-0.07,306,,,
2005,TCU,CUSA,103.2,157,96.6,54,68,92,0.047,63,,,
2003,Ohio St.,B10,103.2,147,94.3,35,64.2,277,0.052,50,,,
2003,Davidson,SC,103.2,148,101,143,70.3,48,0.004,154,,,
2003,Belmont,ASun,103.2,149,103,180,67.2,155,0.02,118,,,
2023,Western Mich.,MAC,103.1,230,116.7,354,65.9,268,-0.055,302,,,
2022,Iowa St. ,B12,103.1,171,88.5,5,66.3,226,0.049,74,,,
2020,Georgia Tech,ACC,103.1,171,91.8,16,70,88,-0.006,200,,,
2019,Missouri St.,MVC,103.1,199,104,158,65.4,287,-0.021,236,,,
2019,South Alabama,SB,103.1,200,107.7,241,66.3,241,0.012,150,,,
2018,Missouri St.,MVC,108.3,112,103.5,145,65.5,309,-0.046,287,,,
2018,Tennessee Tech,OVC,98.5,290,103.5,147,70.9,54,0.118,4,,,
2018,Iowa St.,B12,109.9,81,103.4,143,68.9,130,-0.009,200,,,
2017,Lamar University,Slnd,103.1,193,108.7,250,68.1,183,-0.014,222,,,
2017,Charlotte,CUSA,103.1,194,109.5,269,72.8,15,0.033,90,,,
2017,Montana St.,BSky,103.1,195,109.6,271,69.3,103,-0.025,250,,,
2017,FDU,NEC,103.1,196,111.9,305,69,115,-0.05,296,,,
2016,The Citadel,SC,103.1,201,117.6,346,80,1,0.008,156,,,
2015,Pacific,WCC,103.1,195,109.5,277,61.4,309,0.052,62,,,
2015,Milwaukee,Horz,103.1,196,106.9,220,64.4,172,0.043,74,,,
2015,Robert Morris ,NEC,103.1,197,104.5,172,65.4,118,0.055,54,,,
2014,Evansville,MVC,103.1,212,107.3,216,65.6,128,0.007,166,,,
2013,Towson,CAA,103.1,157,103.6,188,64.7,172,0.054,43,,,
2013,St. Francis Brooklyn,NEC,103.1,158,107.9,271,65.2,144,-0.068,315,,,
2012,Niagara,MAAC,103.1,165,109.9,299,67.3,67,0.041,69,,,
2012,North Florida,ASun,103.1,166,105.1,224,65.3,156,0.065,29,,,
2012,USC Upstate,ASun,103.1,167,99.9,112,67,86,0.032,88,,,
2011,Sam Houston,Slnd,103.1,173,104.4,196,65.3,172,-0.03,258,,,
2011,DePaul,BE,103.1,174,106.4,239,68.3,46,-0.043,284,,,
2010,Rider,MAAC,103.1,168,104.6,216,67.1,109,0.074,29,,,
2009,Murray St.,OVC,103.1,160,100.3,118,62.4,291,-0.028,245,,,
2009,Boise St.,WAC,103.1,161,102.1,154,68.7,51,0.091,12,,,
2008,Central Mich.,MAC,103.1,180,105.2,201,67.9,79,0.082,20,,,
2008,UAlbany,AE,103.1,181,104.9,196,63.4,245,-0.063,310,,,
2006,Towson,CAA,103.1,165,111.1,301,67.4,92,0.074,29,,,
2005,Robert Morris,NEC,103.1,158,112.8,317,65.4,203,0.036,86,,,
2005,Iowa St. ,B12,103.1,159,90.1,9,66.8,130,0.003,152,,,
2005,Detroit,Horz,103.1,160,99.5,91,59.7,321,-0.07,308,,,
2005,New Orleans,SB,103.1,161,105,217,64.2,241,0.003,153,,,
2004,South Alabama,SB,103.1,154,106.4,230,63,273,-0.039,253,,,
2003,South Carolina,SEC,103.1,150,94.8,38,65.5,235,-0.028,239,,,
2003,Centenary,ind,103.1,151,111.7,306,68.9,84,0.031,90,,,
2003,Bradley,MVC,103.1,152,101.2,145,68.6,93,-0.125,325,,,
2023,SMU,Amer,103,231,104.2,145,69.7,62,-0.041,284,,,
2023,Alcorn,SWAC,103,232,108.8,251,67.4,179,0.156,1,,,
2022,New Hampshire,AE,103,172,109.4,293,62.3,348,-0.022,228,,,
2022,Louisville,ACC,103,173,99.4,114,67,188,0.001,171,,,
2021,Chattanooga,SC,103,161,102.3,178,66.4,269,0.102,16,,,
2020,McNeese,Slnd,103,172,112.3,330,69,137,-0.039,281,,,
2020,Youngstown St.,Horz,103,173,108.5,303,66.4,269,0.038,84,,,
2019,Houston Baptist,Slnd,103,201,112.9,324,73.9,9,-0.038,268,,,
2018,North Texas,CUSA,105.6,162,103.4,142,67.8,196,-0.048,295,,,
2018,Milwaukee,Horz,100.3,253,103.4,144,65.7,294,-0.023,241,,,
2018,UAB,CUSA,109.6,87,103.3,138,67.7,201,-0.047,291,,,
2017,LMU (CA),WCC,103,197,103.4,153,67.2,218,0.025,117,,,
2017,Kansas City,WAC,103,198,107.4,225,70.7,58,0.065,34,,,
2017,Western Ky.,CUSA,103,199,109.1,259,65.8,282,0.048,62,,,
2017,Drake,MVC,103,200,111.1,302,69.7,92,-0.083,334,,,
2016,Samford,SC,103,202,108.2,238,67.9,176,-0.056,309,,,
2015,Ohio,MAC,103,198,108.5,257,66.4,73,-0.04,272,,,
2015,LMU (CA),WCC,103,199,111.6,314,62.3,280,0.024,124,,,
2015,Quinnipiac,MAAC,103,200,104.1,165,66.3,76,-0.092,337,,,
2014,LIU Brooklyn,NEC,103,213,118.6,347,66.4,92,0.077,28,,,
2014,Bucknell,Pat,103,214,102.1,113,62.9,267,-0.042,268,,,
2013,Vermont,AE,103,159,99.9,126,60.9,306,-0.006,195,,,
2013,Wyoming,MWC,103,160,96.5,65,60,322,0.045,63,,,
2013,Indiana St. ,MVC,103,161,95.7,55,64,199,0.041,73,,,
2013,USC Upstate,ASun,103,162,105.3,230,64.9,155,-0.076,324,,,
2011,William & Mary,CAA,103,175,108.3,273,62.9,282,-0.056,303,,,
2011,Lafayette,Pat,103,176,108.2,269,64.4,226,-0.031,263,,,
2011,Canisius,MAAC,103,177,104.6,202,64.7,207,-0.031,261,,,
2010,SFA,Slnd,103,169,101.5,147,58.7,342,0.043,73,,,
2009,Oral Roberts,Sum,103,162,95.2,41,67.6,77,-0.111,342,,,
2007,Holy Cross ,Pat,103,186,95.6,39,62.5,293,0.025,119,,,
2007,North Texas ,SB,103,187,104,154,69.1,55,0.034,92,,,
2004,George Mason,CAA,103,155,96.8,52,67.5,103,0.093,15,,,
2004,La Salle,A10,103,156,106.1,211,64.1,231,-0.023,223,,,
2004,Massachusetts,A10,103,157,106.1,215,66.5,133,-0.022,220,,,
2004,Northeastern,AE,103,158,107.3,244,72.9,7,0.052,54,,,
2004,Mercer,ASun,103,159,110.3,292,67.2,114,0.009,146,,,
2023,Boston College,ACC,102.9,233,102.6,112,66.9,206,0.088,23,,,
2022,North Dakota St.,Sum,102.9,174,101.4,144,66.4,221,0.101,17,,,
2022,Oakland,Horz,102.9,175,104.2,211,67.4,158,0.022,132,,,
2022,Quinnipiac,MAAC,102.9,176,107.9,277,68.8,90,-0.029,246,,,
2021,Campbell,BSth,102.9,162,107.6,281,63.9,338,0.064,49,,,
2021,Lafayette,Pat,102.9,163,112,335,68.6,145,0.062,53,,,
2020,Massachusetts,A10,102.9,174,102.5,185,68.6,161,0.012,153,,,
2020,Houston Baptist,Slnd,102.9,175,122.3,352,76.1,2,0.002,181,,,
2019,Troy,SB,102.9,202,110.4,290,67,207,0.053,56,,,
2019,Massachusetts,A10,102.9,203,109.2,265,67.3,191,-0.061,310,,,
2019,Northwestern,B10,102.9,204,93.8,19,66,265,-0.111,348,,,
2018,Southern Ill.,MVC,106.1,146,103.3,140,66.6,253,0.073,30,,,
2018,Illinois St.,MVC,105.7,157,103.3,139,68.9,138,0.116,6,,,
2017,FIU,CUSA,102.9,201,112.5,313,65,306,-0.171,351,,,
2017,Drexel,CAA,102.9,202,110.1,283,70.3,68,-0.089,339,,,
2016,Denver,Sum,102.9,203,105.9,189,60.8,351,0.029,100,,,
2015,Omaha,Sum,102.9,201,110.5,294,73.4,3,-0.042,276,,,
2015,Portland St.,BSky,102.9,202,110.7,297,65.9,96,0.071,32,,,
2015,Cal Poly,BW,102.9,203,101.7,120,58.6,346,-0.056,308,,,
2015,George Mason,A10,102.9,204,106,199,64,191,-0.032,257,,,
2014,Morehead St.,OVC,102.9,215,103.9,149,67.5,51,0.038,92,,,
2014,Norfolk St.,MEAC,102.9,216,110.3,267,62.7,278,0.042,82,,,
2014,UAlbany ,AE,102.9,217,103.9,148,61.6,314,0.002,181,,,
2013,Youngstown St.,Horz,102.9,163,104.8,213,66.9,66,0.025,119,,,
2012,Penn St.,B10,102.9,168,99.5,107,63.1,264,-0.024,232,,,
2011,San Francisco,WCC,102.9,178,100.9,116,67.3,68,0.083,22,,,
2011,Brown,Ivy,102.9,179,109.4,287,68,51,-0.028,251,,,
2011,Charleston So.,BSth,102.9,180,107.2,252,65.9,147,-0.06,308,,,
2011,Fla. Atlantic ,SB,102.9,181,104.8,209,62.4,303,0.134,4,,,
2010,Utah,MWC,102.9,170,98,87,64.8,224,-0.063,311,,,
2009,Akron ,MAC,102.9,163,96,51,64.8,190,-0.014,204,,,
2006,Southern Ill. ,MVC,102.9,166,89.3,5,60.7,311,0.032,88,,,
2006,Nebraska ,B12,102.9,167,97.1,70,64.6,209,0.057,46,,,
2006,Mississippi St.,SEC,102.9,168,97.3,76,66.7,113,0.027,98,,,
2005,Duquesne,A10,102.9,162,112.2,313,66.2,161,-0.007,181,,,
2004,Cal St. Fullerton,BW,102.9,160,107.8,252,66.5,134,-0.023,221,,,
2004,TCU,CUSA,102.9,161,102.8,158,66.1,149,-0.001,173,,,
2003,IUPUI ,MCon,102.9,153,102.5,171,67,164,0.071,27,,,
2003,UCF,ASun,102.9,154,99.7,118,65.4,239,-0.032,255,,,
2003,Eastern Wash.,BSky,102.9,155,97.6,81,67.9,123,-0.031,250,,,
2003,Hawaii,WAC,102.9,156,98.5,95,65.8,213,0.057,45,,,
2023,Delaware,CAA,102.8,234,108.4,239,67.3,182,0.042,83,,,
2023,Butler,BE,102.8,235,98.4,55,65.6,279,0.006,169,,,
2022,Youngstown St.,Horz,102.8,177,110.3,310,66.6,207,0.002,168,,,
2022,Bowling Green,MAC,102.8,178,113,343,72.8,3,-0.011,201,,,
2022,South Alabama,SB,102.8,179,101.6,149,66.5,219,-0.04,272,,,
2022,Southeastern La.,Slnd,102.8,180,111.5,331,70.6,31,0.109,13,,,
2017,A&M-Corpus Christi,Slnd,102.8,203,103.3,145,68.8,132,0.062,38,,,
2017,San Francisco,WCC,102.8,204,98,59,69.1,109,0.008,170,,,
2016,Massachusetts,A10,102.8,204,103.1,140,70.8,57,0.008,158,,,
2016,Boston U.,Pat,102.8,205,108.7,251,69.7,90,0.051,58,,,
2015,Southeast Mo. St.,OVC,102.8,205,108.4,254,65.6,110,-0.061,316,,,
2015,Stony Brook,AE,102.8,206,99.5,88,64.1,186,0.019,137,,,
2015,NIU,MAC,102.8,207,104,163,62.5,273,0.005,175,,,
2015,Fresno St.,MWC,102.8,208,105.7,190,64.9,144,0.068,37,,,
2014,Utah Valley ,WAC,102.8,218,106,189,61.1,329,0.121,2,,,
2014,Yale,Ivy,102.8,219,101.5,106,63.5,238,0.08,22,,,
2013,San Diego,WCC,102.8,164,103,176,62.5,268,0.039,80,,,
2013,Hawaii,BW,102.8,165,106.6,252,67.9,39,0.01,154,,,
2013,Northern Colo.,BSky,102.8,166,109.8,300,64.9,158,-0.051,297,,,
2012,Coastal Carolina,BSth,102.8,169,104.7,212,63.8,237,-0.006,188,,,
2012,Presbyterian,BSth,102.8,170,110.4,302,59.4,337,0.023,114,,,
2011,UC Davis,BW,102.8,182,109.9,297,66.4,109,-0.094,332,,,
2011,Indiana St. ,MVC,102.8,183,97.4,63,65,189,0.051,55,,,
2011,Oregon St.,P10,102.8,184,102.3,139,69.1,33,-0.044,286,,,
2010,George Mason,CAA,102.8,171,101.9,156,64.6,233,0.049,60,,,
2009,Wichita St.,MVC,102.8,164,100.4,120,62.3,293,-0.004,172,,,
2009,South Alabama,SB,102.8,165,104.1,194,63.2,264,0.037,75,,,
2009,Loyola Maryland,MAAC,102.8,166,107.8,272,65.6,156,0.007,147,,,
2007,William & Mary,CAA,102.8,188,106.6,204,63.1,272,0.019,131,,,
2007,Youngstown St.,Horz,102.8,189,105.4,180,65.6,175,0.036,85,,,
2007,Tulane,CUSA,102.8,190,101,101,69.8,38,0.046,69,,,
2006,Northwestern,B10,102.8,169,97.9,84,58.2,328,0.005,156,,,
2006,Green Bay,Horz,102.8,170,105.8,217,63.1,257,0.056,48,,,
2006,Austin Peay,OVC,102.8,171,106,219,66.7,110,0.032,87,,,
2006,SFA,Slnd,102.8,172,105,198,63.4,248,-0.09,313,,,
2005,Ole Miss,SEC,102.8,163,97.8,71,63.4,276,-0.029,243,,,
2005,Eastern Ky. ,OVC,102.8,164,100.8,124,66.1,167,0.099,11,,,
2004,Oregon St.,P10,102.8,162,102.1,144,67.6,99,0.003,164,,,
2003,Tennessee Tech,OVC,102.8,157,99,106,68.7,87,-0.016,207,,,
2023,Hawaii,BW,102.7,236,98.7,58,65,304,0.001,192,,,
2023,Idaho St.,BSky,102.7,237,108.9,255,65.4,286,-0.084,342,,,
2023,Bellarmine,ASun,102.7,238,110.7,284,62.3,356,0.084,26,,,
2023,UTSA,CUSA,102.7,239,112.7,324,69.4,79,0.036,92,,,
2022,Valparaiso,MVC,102.7,181,105.4,229,65.1,288,-0.024,235,,,
2022,Portland,WCC,102.7,182,103.6,196,69.1,74,0.045,80,,,
2022,East Carolina,Amer,102.7,183,103.5,191,67.7,138,0.074,41,,,
2022,Utah Valley,WAC,102.7,184,98.3,87,65.8,250,-0.011,202,,,
2021,Butler,BE,102.7,164,97.4,86,64.6,326,0.069,45,,,
2019,Morehead St.,OVC,102.7,205,110,280,67.2,200,0.06,42,,,
2017,Gardner-Webb,BSth,102.7,205,103.5,154,70.8,54,-0.041,285,,,
2016,App State,SB,102.7,206,110.9,287,70.3,69,-0.015,218,,,
2015,UCF,Amer,102.7,209,112.3,319,64,193,0.075,29,,,
2015,Indiana St.,MVC,102.7,210,103.4,154,66.6,65,0.015,145,,,
2014,Northern Ky.,ASun,102.7,220,116.8,340,61.1,325,-0.044,277,,,
2014,Charlotte,CUSA,102.7,221,103.2,136,67.5,49,0.046,79,,,
2014,UIW,Slnd,102.7,222,110.3,265,68.7,25,0.015,149,,,
2013,College of Col. of Charleston,SC,102.7,167,101.6,151,62.9,247,0.091,9,,,
2013,Yale,Ivy,102.7,168,105.7,240,63,239,0.032,98,,,
2013,Southern Ill.,MVC,102.7,169,103.4,184,61.6,291,0.046,60,,,
2012,Rhode Island,A10,102.7,171,107.8,268,66.5,98,-0.047,277,,,
2011,Lehigh,Pat,102.7,185,104.9,212,69.9,20,-0.029,253,,,
2010,Massachusetts,A10,102.7,172,102.6,168,68.6,63,0.004,159,,,
2009,Idaho St.,BSky,102.7,167,105.4,225,62.6,281,-0.027,242,,,
2009,Denver,SB,102.7,168,106.2,243,56.1,344,-0.034,269,,,
2009,St. John's (NY),BE,102.7,169,98.8,86,65.4,165,0.001,163,,,
2009,Delaware,CAA,102.7,170,106.6,251,67,99,-0.011,196,,,
2009,Evansville,MVC,102.7,171,99.6,98,66.5,116,0.016,126,,,
2008,Fla. Atlantic,SB,102.7,182,108.6,264,68.6,51,0.029,98,,,
2007,Eastern Ky. ,OVC,102.7,191,105.3,177,61.3,309,0.078,23,,,
2007,Nicholls,Slnd,102.7,192,113.6,319,69,57,-0.019,227,,,
2006,Dayton,A10,102.7,173,99.5,104,62.3,279,-0.092,314,,,
2005,Southern Miss.,CUSA,102.7,165,109.8,291,64.8,225,-0.009,184,,,
2005,FDU ,NEC,102.7,166,105.2,220,68.6,74,-0.003,171,,,
2004,Ole Miss,SEC,102.7,163,99.7,100,62.9,274,0.022,112,,,
2004,American,Pat,102.7,164,105.8,206,63.4,255,-0.006,182,,,
2004,UCLA,P10,102.7,165,101.4,126,63.2,262,0.017,126,,,
2023,Minnesota,B10,102.6,240,106.4,190,65.7,274,0.014,145,,,
2023,UNCW,CAA,102.6,241,101.8,98,65.5,281,0.133,5,,,
2023,Siena,MAAC,102.6,242,104.8,159,67,197,-0.022,246,,,
2022,James Madison,CAA,102.6,185,107.3,264,68.8,87,0.076,36,,,
2022,Coastal Carolina,SB,102.6,186,101.3,142,67,191,-0.078,332,,,
2022,Butler,BE,102.6,187,98.7,95,63.9,334,0.008,156,,,
2022,Monmouth,MAAC,102.6,188,101.4,145,66.2,234,0.076,37,,,
2021,Tulsa,Amer,102.6,165,97.5,91,65.6,303,-0.024,235,,,
2021,Indiana St.,MVC,102.6,166,97.3,85,66.9,244,0.079,31,,,
2020,Santa Clara,WCC,102.6,176,101.3,154,71.6,42,0.049,52,,,
2019,Northern Colo.,BSky,102.6,206,104.9,178,66.5,236,0.05,60,,,
2019,CSU Bakersfield,WAC,102.6,207,107.7,243,65.2,303,0.072,28,,,
2019,South Fla.,Amer,102.6,208,95.9,37,67.5,184,-0.024,244,,,
2018,Ball St.,MAC,103.3,202,103.3,141,69.9,83,0.06,55,,,
2018,Saint Mary's (CA) ,WCC,119.4,11,103.2,137,63.5,341,0.006,161,,,
2018,LSU ,SEC,114.8,33,103.2,136,68.7,149,-0.018,226,,,
2018,Buffalo ,MAC,114.7,34,103.2,135,72.7,16,0.006,158,,,
2017,Penn,Ivy,102.6,206,102.8,133,66.7,255,-0.054,301,,,
2017,Tulane,Amer,102.6,207,109.2,264,70.4,64,-0.075,328,,,
2017,Kennesaw St.,ASun,102.6,208,110.1,285,69.4,101,0,187,,,
2017,Youngstown St.,Horz,102.6,209,112.9,317,71.7,32,0.077,19,,,
2016,UTEP,CUSA,102.6,207,107.6,222,71.6,38,0.035,91,,,
2016,A&M-Corpus Christi,Slnd,102.6,208,103.3,144,68.5,141,0.169,1,,,
2016,Sam Houston,Slnd,102.6,209,107.2,215,67,237,-0.008,198,,,
2015,Tulsa ,Amer,102.6,211,94.9,28,63.9,197,0.096,12,,,
2013,Western Mich.,MAC,102.6,170,100,127,65,153,0.062,35,,,
2013,UAlbany ,AE,102.6,171,101.3,144,61.7,289,0.082,18,,,
2013,Jacksonville St.,OVC,102.6,172,106,246,60.9,309,0.087,15,,,
2013,Vanderbilt,SEC,102.6,173,95.8,58,59.7,328,-0.026,249,,,
2012,Arkansas St.,SB,102.6,172,105.3,227,62,297,-0.024,234,,,
2012,Sacred Heart,NEC,102.6,173,108.6,282,66,122,-0.027,241,,,
2011,UC Irvine,BW,102.6,186,107.2,251,69.8,23,-0.048,291,,,
2010,UCF,CUSA,102.6,173,102.3,164,63.4,279,0.009,146,,,
2010,Saint Joseph's,A10,102.6,174,102.7,173,68.7,60,0.016,122,,,
2009,Indiana St.,MVC,102.6,172,105.9,237,63.3,261,0.007,149,,,
2009,The Citadel,SC,102.6,173,105.3,223,61.7,307,0.042,65,,,
2009,Buffalo,MAC,102.6,174,98.6,82,64.6,201,0.036,77,,,
2007,Yale,Ivy,102.6,193,104.7,163,66.3,140,-0.017,221,,,
2007,UAB,CUSA,102.6,194,97.7,57,64,236,-0.042,273,,,
2007,Oregon St.,P10,102.6,195,104.6,162,65.1,194,-0.032,260,,,
2006,Furman,SC,102.6,174,108.7,270,62.6,272,-0.016,208,,,
2006,Portland,WCC,102.6,175,107.7,255,65.6,144,0.046,60,,,
2006,Baylor,B12,102.6,176,102.4,153,65.5,157,-0.046,277,,,
2005,UC Irvine,BW,102.6,167,104.7,208,64.9,222,0.053,52,,,
2005,Arkansas Little Rock,SB,102.6,168,100.9,127,63.3,279,0.129,4,,,
2005,Louisiana Tech,WAC,102.6,169,101.5,137,67.3,115,-0.01,188,,,
2004,New Orleans,SB,102.6,166,103.7,174,64.8,205,0.085,21,,,
2004,Louisiana Tech,WAC,102.6,167,98.8,82,64.9,197,-0.018,211,,,
2004,Centenary,MCon,102.6,168,104.1,177,63.7,243,0.028,97,,,
2003,Washington,P10,102.6,158,99.4,112,70.1,51,-0.057,287,,,
2023,Jacksonville St.,ASun,102.5,243,107.7,223,65.8,270,-0.044,288,,,
2023,Little Rock,OVC,102.5,244,115.8,351,71.1,27,-0.025,250,,,
2022,Southern Ill.,MVC,102.5,189,98.8,100,62.1,351,-0.071,323,,,
2020,Kansas St.,B12,102.5,177,94.2,40,67.2,239,-0.129,348,,,
2019,Ball St.,MAC,102.5,209,98.6,72,70.3,59,-0.088,337,,,
2017,Saint Peter's,MAAC,102.5,210,95.9,36,61.3,347,-0.024,249,,,
2015,Miami (OH),MAC,102.5,212,106.6,214,64.6,156,0.009,163,,,
2015,American,Pat,102.5,213,104.2,168,56.8,351,0.015,147,,,
2013,Texas,B12,102.5,174,95.5,54,64.7,173,-0.023,243,,,
2013,Mount St. Mary's,NEC,102.5,175,106.3,250,66,107,0.118,3,,,
2012,Austin Peay,OVC,102.5,174,106,237,67.5,58,-0.03,252,,,
2010,Towson,CAA,102.5,175,110.5,304,67.8,78,0.01,140,,,
2010,Duquesne,A10,102.5,176,99.7,111,69.6,32,0.027,100,,,
2010,Cal St. Fullerton,BW,102.5,177,106.2,244,67.9,77,0.04,79,,,
2009,Bowling Green ,MAC,102.5,175,100.7,129,62.5,287,-0.01,193,,,
2009,Iowa St.,B12,102.5,176,97.9,71,63.7,239,-0.017,221,,,
2009,IPFW,Sum,102.5,177,106.8,257,65.3,170,0.024,108,,,
2007,Fresno St. ,WAC,102.5,196,96.3,46,68.7,64,0.052,57,,,
2007,Coastal Carolina,BSth,102.5,197,110.4,281,66.4,136,-0.031,259,,,
2006,Ole Miss,SEC,102.5,177,101.6,140,63.8,239,0.029,93,,,
2006,North Texas,SB,102.5,178,106.9,237,71.8,9,0.001,167,,,
2006,UT Arlington,Slnd,102.5,179,105.3,205,66.2,125,-0.07,306,,,
2005,Lamar University,Slnd,102.5,170,103.2,177,73.8,4,-0.021,218,,,
2004,Boston U.,AE,102.5,169,99.5,92,63.4,261,0.115,3,,,
2003,College of Col. of Charleston,SC,102.5,159,98.4,92,67.1,161,0.079,22,,,
2023,Loyola Chicago,A10,102.4,245,109.5,263,66.3,241,-0.036,273,,,
2021,Washington St.,P12,102.4,167,91.3,24,67.6,207,-0.01,203,,,
2021,Sacramento St.,BSky,102.4,168,110.3,318,65.3,313,-0.03,250,,,
2020,Murray St.,OVC,102.4,178,99.3,110,68.9,144,-0.03,263,,,
2019,Arkansas St.,SB,102.4,210,110.2,285,68.3,140,0.086,14,,,
2019,FIU,CUSA,102.4,211,105.8,198,77.6,1,0.115,7,,,
2019,Texas St.,SB,102.4,212,98.8,76,65.1,306,0.022,123,,,
2019,VMI,SC,102.4,213,112.7,321,71.6,27,0.018,135,,,
2016,Nevada,MWC,102.4,210,98.5,55,71.3,47,0.065,38,,,
2016,Brown,Ivy,102.4,211,111.6,300,70.4,67,-0.056,308,,,
2015,UNC Asheville,BSth,102.4,214,108.6,260,67.8,29,-0.024,236,,,
2014,South Fla.,Amer,102.4,223,104.3,155,63.9,222,0.018,137,,,
2013,South Fla.,BE,102.4,176,99.7,121,58.7,341,-0.007,198,,,
